ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,perc_diff
Regionali Speciali,Marzabotto,Bologna,Emilia-Romagna,2801,2786,5587,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Medicina,Bologna,Emilia-Romagna,6905,6676,13581,11.16,19.26,1515,2024-11-17,12:00,0,-8.1
Regionali Speciali,Medicina,Bologna,Emilia-Romagna,6905,6676,13581,32.89,56.28,4467,2024-11-17,19:00,1,-23.39
Regionali Speciali,Medicina,Bologna,Emilia-Romagna,6905,6676,13581,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Medicina,Bologna,Emilia-Romagna,6905,6676,13581,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Minerbio,Bologna,Emilia-Romagna,3597,3439,7036,12.11,24.02,852,2024-11-17,12:00,0,-11.91
Regionali Speciali,Minerbio,Bologna,Emilia-Romagna,3597,3439,7036,33.27,60.83,2341,2024-11-17,19:00,1,-27.56
Regionali Speciali,Minerbio,Bologna,Emilia-Romagna,3597,3439,7036,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Minerbio,Bologna,Emilia-Romagna,3597,3439,7036,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Molinella,Bologna,Emilia-Romagna,6402,6079,12481,12.31,21.51,1537,2024-11-17,12:00,0,-9.2
Regionali Speciali,Molinella,Bologna,Emilia-Romagna,6402,6079,12481,31.94,56.67,3986,2024-11-17,19:00,1,-24.73
Regionali Speciali,Molinella,Bologna,Emilia-Romagna,6402,6079,12481,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Molinella,Bologna,Emilia-Romagna,6402,6079,12481,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Monghidoro,Bologna,Emilia-Romagna,1570,1726,3296,12.8,27.45,422,2024-11-17,12:00,0,-14.65
Regionali Speciali,Monghidoro,Bologna,Emilia-Romagna,1570,1726,3296,30.67,59.0,1011,2024-11-17,19:00,1,-28.33
Regionali Speciali,Monghidoro,Bologna,Emilia-Romagna,1570,1726,3296,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Monghidoro,Bologna,Emilia-Romagna,1570,1726,3296,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Monterenzio,Bologna,Emilia-Romagna,2376,2425,4801,11.44,25.29,549,2024-11-17,12:00,0,-13.85
Regionali Speciali,Monterenzio,Bologna,Emilia-Romagna,2376,2425,4801,30.29,57.53,1454,2024-11-17,19:00,1,-27.24
Regionali Speciali,Monterenzio,Bologna,Emilia-Romagna,2376,2425,4801,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Monterenzio,Bologna,Emilia-Romagna,2376,2425,4801,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Monte San Pietro,Bologna,Emilia-Romagna,4608,4488,9096,13.14,27.21,1195,2024-11-17,12:00,0,-14.07
Regionali Speciali,Monte San Pietro,Bologna,Emilia-Romagna,4608,4488,9096,35.64,66.03,3242,2024-11-17,19:00,1,-30.39
