comune,provincia,regione,PAPPALARDO ANTONIO_total_votes,PAPPALARDO ANTONIO_total_perc,RICCI CLAUDIO_total_votes,RICCI CLAUDIO_total_perc,RUBICONDI ROSSANO_total_votes,RUBICONDI ROSSANO_total_perc,CARLETTI MARTINA_total_votes,CARLETTI MARTINA_total_perc,TESEI DONATELLA_total_votes,TESEI DONATELLA_total_perc,BIANCONI VINCENZO_total_votes,BIANCONI VINCENZO_total_perc,CAMUZZI EMILIANO_total_votes,CAMUZZI EMILIANO_total_perc,CIRILLO GIUSEPPE_total_votes,CIRILLO GIUSEPPE_total_perc,GILET ARANCIONI,GILET ARANCIONI_perc,RICCI PRESIDENTE,RICCI PRESIDENTE_perc,ITALIA CIVICA,ITALIA CIVICA_perc,PROPOSTA UMBRIA,PROPOSTA UMBRIA_perc,PARTITO COMUNISTA,PARTITO COMUNISTA_perc,RICONQUISTARE L'ITALIA,RICONQUISTARE L'ITALIA_perc,FORZA ITALIA,FORZA ITALIA_perc,TESEI PRESIDENTE,TESEI PRESIDENTE_perc,LEGA,LEGA_perc,UMBRIA CIVICA,UMBRIA CIVICA_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,BIANCONI PER L'UMBRIA,BIANCONI PER L'UMBRIA_perc,SINISTRA CIVICA VERDE,SINISTRA CIVICA VERDE_perc,EUROPA VERDE UMBRIA,EUROPA VERDE UMBRIA_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,POTERE AL POPOLO,POTERE AL POPOLO_perc,PARTITO COMUNISTA ITALIANO,PARTITO COMUNISTA ITALIANO_perc,PARTITO DELLE BUONE MANIERE,PARTITO DELLE BUONE MANIERE_perc
LUGNANO IN TEVERINA,,,1,0.12,10,1.19,6,0.72,16,1.91,481,57.47,280,33.45,13,1.55,1,0.12,1,0.12,7,0.84,3,0.36,0,0.0,6,0.72,16,1.91,47,5.62,6,0.72,336,40.14,7,0.84,79,9.44,115,13.74,17,2.03,21,2.51,6,0.72,110,13.14,4,0.48,9,1.08,1,0.12
MONTECASTRILLI,,,1,0.04,27,0.96,11,0.39,4,0.14,1803,64.26,877,31.25,12,0.43,0,0.0,1,0.04,13,0.46,8,0.29,3,0.11,10,0.36,4,0.14,236,8.41,72,2.57,1225,43.66,38,1.35,200,7.13,500,17.82,79,2.82,25,0.89,36,1.28,206,7.34,5,0.18,7,0.25,0,0.0
MONTECCHIO,,,0,0.0,10,1.1,5,0.55,5,0.55,564,62.18,285,31.42,6,0.66,1,0.11,0,0.0,5,0.55,2,0.22,2,0.22,5,0.55,5,0.55,68,7.5,17,1.87,355,39.14,13,1.43,93,10.25,155,17.09,34,3.75,3,0.33,9,0.99,55,6.06,1,0.11,5,0.55,1,0.11
MONTEFRANCO,,,0,0.0,8,1.13,8,1.13,0,0.0,461,64.93,204,28.73,11,1.55,0,0.0,0,0.0,5,0.7,2,0.28,1,0.14,7,0.99,0,0.0,29,4.08,37,5.21,290,40.85,4,0.56,98,13.8,98,13.8,14,1.97,21,2.96,3,0.42,60,8.45,6,0.85,5,0.7,0,0.0
MONTEGABBIONE,,,3,0.51,9,1.53,7,1.19,1,0.17,293,49.66,240,40.68,10,1.69,1,0.17,3,0.51,4,0.68,2,0.34,1,0.17,6,1.02,1,0.17,22,3.73,7,1.19,191,32.37,8,1.36,44,7.46,163,27.63,13,2.2,6,1.02,6,1.02,40,6.78,2,0.34,7,1.19,1,0.17
MONTELEONE D'ORVIETO,,,1,0.13,10,1.31,3,0.39,0,0.0,429,56.15,287,37.57,6,0.79,1,0.13,1,0.13,7,0.92,1,0.13,2,0.26,3,0.39,0,0.0,26,3.4,6,0.79,306,40.05,17,2.23,60,7.85,200,26.18,22,2.88,9,1.18,8,1.05,30,3.93,1,0.13,4,0.52,1,0.13
NARNI,,,9,0.09,114,1.1,55,0.53,21,0.2,5764,55.43,4052,38.97,111,1.07,13,0.13,8,0.08,45,0.43,36,0.35,11,0.11,54,0.52,20,0.19,400,3.85,109,1.05,3354,32.25,523,5.03,1257,12.09,2559,24.61,234,2.25,86,0.83,90,0.87,886,8.52,36,0.35,66,0.63,12,0.12
ORVIETO,,,8,0.08,79,0.76,56,0.54,14,0.13,5785,55.47,4074,39.06,125,1.2,9,0.09,7,0.07,17,0.16,19,0.18,18,0.17,53,0.51,11,0.11,500,4.79,202,1.94,3809,36.52,238,2.28,807,7.74,2457,23.56,249,2.39,98,0.94,135,1.29,778,7.46,20,0.19,91,0.87,8,0.08
OTRICOLI,,,0,0.0,98,9.89,1,0.1,1,0.1,615,62.06,236,23.81,6,0.61,0,0.0,0,0.0,83,8.38,8,0.81,1,0.1,1,0.1,1,0.1,19,1.92,11,1.11,466,47.02,19,1.92,95,9.59,132,13.32,9,0.91,6,0.61,4,0.4,69,6.96,5,0.5,1,0.1,0,0.0
PARRANO,,,1,0.33,0,0.0,5,1.63,0,0.0,123,40.07,164,53.42,2,0.65,0,0.0,1,0.33,0,0.0,0,0.0,0,0.0,5,1.63,0,0.0,11,3.58,0,0.0,93,30.29,2,0.65,12,3.91,96,31.27,3,0.98,45,14.66,6,1.95,10,3.26,0,0.0,2,0.65,0,0.0
PENNA IN TEVERINA,,,0,0.0,7,1.25,4,0.71,0,0.0,319,56.76,207,36.83,9,1.6,1,0.18,0,0.0,4,0.71,1,0.18,0,0.0,4,0.71,0,0.0,27,4.8,7,1.25,238,42.35,6,1.07,33,5.87,114,20.28,10,1.78,5,0.89,11,1.96,36,6.41,4,0.71,3,0.53,0,0.0
POLINO,,,0,0.0,0,0.0,3,2.1,2,1.4,84,58.74,48,33.57,3,2.1,1,0.7,0,0.0,0,0.0,0,0.0,0,0.0,3,2.1,2,1.4,7,4.9,3,2.1,65,45.45,4,2.8,5,3.5,35,24.48,1,0.7,4,2.8,0,0.0,5,3.5,1,0.7,2,1.4,1,0.7
PORANO,,,0,0.0,5,0.5,8,0.8,4,0.4,606,60.6,339,33.9,12,1.2,0,0.0,0,0.0,0,0.0,1,0.1,3,0.3,8,0.8,4,0.4,63,6.3,17,1.7,391,39.1,26,2.6,92,9.2,175,17.5,26,2.6,8,0.8,23,2.3,79,7.9,4,0.4,8,0.8,0,0.0
SAN GEMINI,,,2,0.07,34,1.27,23,0.86,6,0.22,1465,54.6,1052,39.21,26,0.97,1,0.04,2,0.07,12,0.45,10,0.37,7,0.26,23,0.86,5,0.19,105,3.91,40,1.49,991,36.94,37,1.38,229,8.54,624,23.26,60,2.24,18,0.67,25,0.93,262,9.77,8,0.3,14,0.52,1,0.04
SAN VENANZO,,,0,0.0,26,1.92,59,4.35,5,0.37,690,50.88,519,38.27,12,0.88,0,0.0,0,0.0,8,0.59,4,0.29,10,0.74,54,3.98,4,0.29,72,5.31,35,2.58,384,28.32,17,1.25,147,10.84,362,26.7,24,1.77,43,3.17,11,0.81,55,4.06,6,0.44,4,0.29,0,0.0
STRONCONE,,,6,0.23,30,1.16,16,0.62,18,0.69,1669,64.44,738,28.49,34,1.31,4,0.15,5,0.19,11,0.42,12,0.46,5,0.19,16,0.62,14,0.54,82,3.17,85,3.28,1178,45.48,49,1.89,234,9.03,289,11.16,61,2.36,28,1.08,24,0.93,261,10.08,21,0.81,12,0.46,4,0.15
TERNI,,,72,0.13,878,1.62,447,0.83,113,0.21,30469,56.3,20224,37.37,692,1.28,52,0.1,64,0.12,552,1.02,103,0.19,78,0.14,424,0.78,107,0.2,2331,4.31,1032,1.91,20582,38.03,715,1.32,4920,9.09,10464,19.34,1397,2.58,808,1.49,563,1.04,5571,10.29,338,0.62,260,0.48,42,0.08
ASSISI,,,14,0.1,882,6.0,69,0.47,40,0.27,8708,59.21,4484,30.49,80,0.54,28,0.19,12,0.08,406,2.76,129,0.88,58,0.39,58,0.39,34,0.23,593,4.03,439,2.98,5675,38.59,162,1.1,1529,10.4,2469,16.79,421,2.86,118,0.8,157,1.07,854,5.81,22,0.15,44,0.3,26,0.18
BASTIA UMBRA,,,13,0.12,760,7.07,63,0.59,19,0.18,6052,56.3,3505,32.61,63,0.59,14,0.13,10,0.09,354,3.29,99,0.92,117,1.09,58,0.54,14,0.13,439,4.08,716,6.66,3551,33.04,97,0.9,999,9.29,1891,17.59,243,2.26,98,0.91,97,0.9,817,7.6,13,0.12,40,0.37,14,0.13
BETTONA,,,5,0.22,97,4.23,9,0.39,0,0.0,1383,60.37,717,31.3,11,0.48,6,0.26,4,0.17,37,1.62,38,1.66,6,0.26,8,0.35,0,0.0,218,9.52,48,2.1,884,38.59,14,0.61,181,7.9,361,15.76,82,3.58,47,2.05,25,1.09,148,6.46,6,0.26,5,0.22,6,0.26
BEVAGNA,,,3,0.12,99,3.82,24,0.93,3,0.12,1542,59.44,823,31.73,22,0.85,2,0.08,3,0.12,40,1.54,24,0.93,8,0.31,24,0.93,3,0.12,130,5.01,150,5.78,908,35.0,46,1.77,222,8.56,441,17.0,101,3.89,41,1.58,35,1.35,139,5.36,4,0.15,14,0.54,1,0.04
CAMPELLO SUL CLITUNNO,,,3,0.24,11,0.89,16,1.3,2,0.16,812,65.86,364,29.52,5,0.41,2,0.16,3,0.24,5,0.41,1,0.08,3,0.24,16,1.3,1,0.08,57,4.62,180,14.6,403,32.68,27,2.19,109,8.84,177,14.36,68,5.52,6,0.49,16,1.3,66,5.35,2,0.16,1,0.08,2,0.16
CANNARA,,,7,0.31,79,3.46,19,0.83,2,0.09,1184,51.93,902,39.56,20,0.88,3,0.13,7,0.31,37,1.62,14,0.61,10,0.44,18,0.79,2,0.09,59,2.59,53,2.32,838,36.75,21,0.92,163,7.15,516,22.63,64,2.81,62,2.72,28,1.23,200,8.77,8,0.35,11,0.48,2,0.09
CASCIA,,,5,0.27,23,1.26,10,0.55,1,0.05,1425,78.04,320,17.52,2,0.11,1,0.05,4,0.22,11,0.6,4,0.22,3,0.16,10,0.55,1,0.05,55,3.01,594,32.53,638,34.94,20,1.1,86,4.71,134,7.34,125,6.85,2,0.11,8,0.44,32,1.75,2,0.11,0,0.0,1,0.05
