comune,provincia,regione,url,MICHELE DE PASCALE_total,MICHELE DE PASCALE_perc,ELENA UGOLINI_total,ELENA UGOLINI_perc,FEDERICO SERRA_total,FEDERICO SERRA_perc,LUCA TEODORI_total,LUCA TEODORI_perc,perc_diff
Lesignano De' Bagni,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560190,835,"47,02",872,"49,10",48,"2,70",21,"1,18",-4.24
Medesano,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560200,1451,"41,77",1935,"55,70",58,"1,67",30,"0,86",-25.01
Monchio Delle Corti,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560220,153,"41,02",210,"56,30",8,"2,14",2,"0,54",-27.14
Montechiarugolo,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560230,2115,"52,20",1817,"44,84",80,"1,97",40,"0,99",16.4
Neviano Degli Arduini,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560240,592,"45,19",670,"51,15",23,"1,76",25,"1,91",-11.64
Noceto,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560250,2054,"43,24",2603,"54,80",63,"1,33",30,"0,63",-21.09
Palanzano,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560260,170,"39,72",252,"58,88",5,"1,17",1,"0,23",-32.54
Parma,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560270,36828,"55,99",27012,"41,06",1360,"2,07",580,"0,88",36.34
Pellegrino Parmense,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560280,127,"40,97",177,"57,10",5,"1,61",1,"0,32",-28.25
Polesine Zibello,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560291,310,"35,39",546,"62,33",12,"1,37",8,"0,91",-43.22
Roccabianca,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560300,423,"48,62",411,"47,24",29,"3,33",7,"0,80",2.92
