comune,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
RIALTO,2,7,0,3,12,0,0,1,0,0,2,0,0,9,7,8,2,0,0.0,0.0
ROCCAVIGNALE,52,19,0,3,73,13,0,0,1,0,5,0,1,7,23,6,0,0,0.0,0.0
SASSELLO,66,2,0,9,55,20,2,0,7,0,12,1,0,78,13,20,5,0,0.0,0.0
SAVONA,825,874,93,342,3996,128,71,25,102,12,432,60,17,385,450,1321,391,13,0.0,0.0
SPOTORNO,24,31,3,5,213,2,6,1,2,0,12,1,0,40,81,24,18,0,0.0,0.0
STELLA,59,11,4,48,125,18,6,0,8,0,4,1,0,97,44,33,8,3,0.0,1.0
STELLANELLO,5,27,18,9,11,0,0,5,4,0,0,0,0,13,19,19,0,0,0.0,0.0
TESTICO,2,3,5,0,0,0,0,0,0,3,1,0,0,13,13,4,0,0,0.0,0.0
TOIRANO,41,87,4,6,80,1,0,8,5,0,12,1,1,275,82,33,7,2,0.0,0.0
TOVO SAN GIACOMO,2,124,12,5,64,2,0,0,14,2,22,0,2,117,51,31,22,0,0.0,0.0
URBE,7,1,0,0,1,42,0,0,3,0,0,1,0,12,20,0,0,0,0.0,0.0
VADO LIGURE,45,59,4,74,793,8,4,4,3,0,18,21,2,42,41,97,24,0,0.0,0.0
VARAZZE,1001,97,9,47,323,15,10,1,19,1,35,4,1,84,429,82,43,13,0.0,0.0
VENDONE,7,5,1,0,13,0,0,0,0,0,4,0,1,15,16,5,1,0,0.0,0.0
VEZZI PORTIO,4,7,5,3,91,0,0,1,3,0,0,1,2,7,5,13,1,0,0.0,0.0
VILLANOVA D'ALBENGA,69,69,18,4,188,0,2,4,5,2,24,0,1,52,67,58,4,1,0.0,0.0
ZUCCARELLO,5,0,0,0,36,0,0,0,0,0,9,1,0,73,2,13,1,0,0.0,0.0
