comune,provincia,regione,MICHELE DE PASCALE_total_votes,MICHELE DE PASCALE_total_perc,ELENA UGOLINI_total_votes,ELENA UGOLINI_total_perc,left_right_index
Fiorano Modenese,Modena,Emilia-Romagna,3165,"57,84",2189,"40,00",-0.18229361225252147
Fiumalbo,Modena,Emilia-Romagna,112,"22,95",368,"75,41",0.5333333333333333
Formigine,Modena,Emilia-Romagna,8965,"63,97",4770,"34,04",-0.3054240990171096
Frassinoro,Modena,Emilia-Romagna,310,"42,70",394,"54,27",0.11931818181818182
Guiglia,Modena,Emilia-Romagna,696,"48,10",705,"48,72",0.006423982869379015
Lama Mocogno,Modena,Emilia-Romagna,452,"42,72",581,"54,91",0.12487899322362052
Maranello,Modena,Emilia-Romagna,3245,"55,18",2483,"42,22",-0.13303072625698323
Marano Sul Panaro,Modena,Emilia-Romagna,889,"48,32",895,"48,64",0.0033632286995515697
Medolla,Modena,Emilia-Romagna,1340,"53,43",1111,"44,30",-0.0934312525499796
Mirandola,Modena,Emilia-Romagna,4391,"50,95",4043,"46,91",-0.041261560350960395
Modena,Modena,Emilia-Romagna,46486,"65,85",22286,"31,57",-0.35188739603326935
Montecreto,Modena,Emilia-Romagna,168,"39,90",243,"57,72",0.18248175182481752
Montefiorino,Modena,Emilia-Romagna,382,"46,99",409,"50,31",0.03413400758533502
Montese,Modena,Emilia-Romagna,515,"42,21",677,"55,49",0.13590604026845637
Nonantola,Modena,Emilia-Romagna,4030,"66,95",1847,"30,69",-0.37144801769610347
Novi Di Modena,Modena,Emilia-Romagna,2186,"63,33",1162,"33,66",-0.3058542413381123
Palagano,Modena,Emilia-Romagna,374,"45,39",428,"51,94",0.06733167082294264
Pavullo Nel Frignano,Modena,Emilia-Romagna,2696,"42,98",3429,"54,67",0.1196734693877551
Pievepelago,Modena,Emilia-Romagna,293,"36,76",486,"60,98",0.24775353016688062
Polinago,Modena,Emilia-Romagna,224,"38,69",338,"58,38",0.20284697508896798
Prignano Sulla Secchia,Modena,Emilia-Romagna,599,"41,31",794,"54,76",0.1399856424982053
Ravarino,Modena,Emilia-Romagna,1386,"62,89",748,"33,94",-0.29896907216494845
Riolunato,Modena,Emilia-Romagna,116,"40,70",164,"57,54",0.17142857142857143
San Cesario Sul Panaro,Modena,Emilia-Romagna,1699,"64,53",844,"32,05",-0.3362170664569406
San Felice Sul Panaro,Modena,Emilia-Romagna,1673,"45,64",1906,"51,99",0.06510198379435597
San Possidonio,Modena,Emilia-Romagna,600,"49,34",590,"48,52",-0.008403361344537815
San Prospero,Modena,Emilia-Romagna,989,"53,46",794,"42,92",-0.10936623667975323
Sassuolo,Modena,Emilia-Romagna,6552,"50,58",6040,"46,63",-0.04066073697585769
Savignano Sul Panaro,Modena,Emilia-Romagna,1939,"57,74",1299,"38,68",-0.19765287214329832
Serramazzoni,Modena,Emilia-Romagna,1122,"39,93",1591,"56,62",0.1728713601179506
Sestola,Modena,Emilia-Romagna,445,"45,04",521,"52,73",0.07867494824016563
Soliera,Modena,Emilia-Romagna,3788,"64,81",1887,"32,28",-0.33497797356828196
Spilamberto,Modena,Emilia-Romagna,2832,"62,26",1565,"34,40",-0.28815101205367294
Vignola,Modena,Emilia-Romagna,4945,"53,93",3989,"43,51",-0.10700693978061339
Zocca,Modena,Emilia-Romagna,719,"45,42",825,"52,12",0.06865284974093264
Albareto,Parma,Emilia-Romagna,247,"32,76",494,"65,52",0.3333333333333333
Bardi,Parma,Emilia-Romagna,221,"30,91",475,"66,43",0.3649425287356322
Bedonia,Parma,Emilia-Romagna,356,"32,72",720,"66,18",0.3382899628252788
Berceto,Parma,Emilia-Romagna,347,"47,21",371,"50,48",0.033426183844011144
Bore,Parma,Emilia-Romagna,110,"46,03",123,"51,46",0.055793991416309016
Borgo Val Di Taro,Parma,Emilia-Romagna,1327,"50,69",1232,"47,06",-0.03712387651426338
Busseto,Parma,Emilia-Romagna,881,"41,07",1218,"56,78",0.16055264411624584
Calestano,Parma,Emilia-Romagna,250,"43,18",312,"53,89",0.1103202846975089
Collecchio,Parma,Emilia-Romagna,3008,"54,56",2327,"42,21",-0.12764761012183692
Colorno,Parma,Emilia-Romagna,1060,"47,28",1121,"50,00",0.027968821641448878
Compiano,Parma,Emilia-Romagna,129,"26,17",360,"73,02",0.4723926380368098
Corniglio,Parma,Emilia-Romagna,273,"40,21",393,"57,88",0.18018018018018017
Felino,Parma,Emilia-Romagna,1632,"51,53",1407,"44,43",-0.07403751233958539
Fidenza,Parma,Emilia-Romagna,5060,"54,58",3954,"42,65",-0.12269802529398713
Fontanellato,Parma,Emilia-Romagna,986,"43,96",1203,"53,63",0.09913202375513934
Fontevivo,Parma,Emilia-Romagna,798,"38,44",1229,"59,20",0.21262950172668968
Fornovo Di Taro,Parma,Emilia-Romagna,961,"54,76",731,"41,65",-0.1359338061465721
Langhirano,Parma,Emilia-Romagna,1470,"46,42",1607,"50,74",0.04452388690282743
Lesignano De' Bagni,Parma,Emilia-Romagna,835,"47,02",872,"49,10",0.021675454012888107
Medesano,Parma,Emilia-Romagna,1451,"41,77",1935,"55,70",0.14294152392203188
Monchio Delle Corti,Parma,Emilia-Romagna,153,"41,02",210,"56,30",0.15702479338842976
Montechiarugolo,Parma,Emilia-Romagna,2115,"52,20",1817,"44,84",-0.0757884028484232
