comune,CSX_votes_2019,CSX_perc_2019,CDX_votes_2019,CDX_perc_2019,provincia,regione,CSX_votes_2024,CSX_perc_2024,CDX_votes_2024,CDX_perc_2024,margin_2019,margin_2024,margin_shift,latitude,longitude
Preci,94,21.41,320,72.89,Perugia,Umbria,89,26.33,240,71.01,51.480000000000004,44.68000000000001,-6.799999999999997,42.8792351,13.0387461
San Giustino,2222,37.38,3390,57.03,Perugia,Umbria,2294,51.67,2027,45.65,19.65,-6.020000000000003,-25.67,43.5489804,12.1758298
Sant'Anatolia Di Narco,98,30.91,181,57.1,Perugia,Umbria,118,50.0,113,47.88,26.19,-2.1199999999999974,-28.31,42.7337577,12.8355862
Scheggia E Pascelupo,230,31.0,466,62.8,Perugia,Umbria,236,44.19,282,52.81,31.799999999999997,8.620000000000005,-23.179999999999993,43.4182657,12.7126783
Scheggino,49,17.5,209,74.64,Perugia,Umbria,70,29.79,161,68.51,57.14,38.720000000000006,-18.419999999999995,42.7125563,12.8313663
Sellano,143,24.03,414,69.58,Perugia,Umbria,172,40.95,237,56.43,45.55,15.479999999999997,-30.07,42.8883883,12.9262871
Sigillo,534,40.73,671,51.18,Perugia,Umbria,520,50.73,479,46.73,10.450000000000003,-4.0,-14.450000000000003,43.3312955,12.7423157
Spello,1779,37.09,2602,54.24,Perugia,Umbria,1973,53.82,1571,42.85,17.15,-10.969999999999999,-28.119999999999997,42.9909451,12.6717751
Spoleto,6513,35.47,10836,59.01,Perugia,Umbria,8051,57.87,5486,39.43,23.54,-18.439999999999998,-41.98,42.7342971,12.7382035
Todi,2440,27.96,5634,64.56,Perugia,Umbria,3275,47.91,3423,50.07,36.6,2.1600000000000037,-34.44,42.7824434,12.4062554
Torgiano,1256,34.63,2043,56.33,Perugia,Umbria,1361,44.22,1634,53.09,21.699999999999996,8.870000000000005,-12.829999999999991,43.028542,12.44136
Trevi,1351,32.56,2498,60.21,Perugia,Umbria,1432,45.69,1606,51.24,27.65,5.550000000000004,-22.099999999999994,42.8774972,12.7474547
Tuoro Sul Trasimeno,692,36.83,1022,54.39,Perugia,Umbria,745,51.88,633,44.08,17.560000000000002,-7.800000000000004,-25.360000000000007,43.2068477,12.0746146
Umbertide,3502,41.53,4289,50.87,Perugia,Umbria,3762,53.45,3105,44.11,9.339999999999996,-9.340000000000003,-18.68,43.3056365,12.3366222
Valfabbrica,475,24.86,1299,67.97,Perugia,Umbria,621,41.4,836,55.73,43.11,14.329999999999998,-28.78,43.1588972,12.600896
Vallo Di Nera,60,29.41,134,65.69,Perugia,Umbria,86,53.09,73,45.06,36.28,-8.030000000000001,-44.31,42.7546212,12.8637598
Valtopina,205,29.62,442,63.87,Perugia,Umbria,280,51.28,255,46.7,34.25,-4.579999999999998,-38.83,43.0582825,12.7546565
Acquasparta,767,32.56,1476,62.65,Terni,Umbria,948,51.89,849,46.47,30.089999999999996,-5.420000000000002,-35.51,42.6911725,12.5464506
Allerona,436,49.55,375,42.61,Terni,Umbria,462,66.28,214,30.7,-6.939999999999998,-35.58,-28.64,42.812033,11.973053
Alviano,225,26.04,580,67.13,Terni,Umbria,230,38.79,343,57.84,41.089999999999996,19.050000000000004,-22.039999999999992,42.5882078,12.2959357
Amelia,2092,32.73,3920,61.34,Terni,Umbria,2417,45.88,2675,50.78,28.610000000000007,4.899999999999999,-23.710000000000008,42.5535279,12.4167756
Arrone,506,35.07,830,57.52,Terni,Umbria,509,48.62,506,48.33,22.450000000000003,-0.28999999999999915,-22.740000000000002,42.583433,12.7698649
Attigliano,254,24.61,712,68.99,Terni,Umbria,271,32.69,531,64.05,44.379999999999995,31.36,-13.019999999999996,42.5143337,12.2925076
