comune,provincia,regione,MARCO BUCCI_total_votes,MARCO BUCCI_total_perc,ANDREA ORLANDO_total_votes,ANDREA ORLANDO_total_perc,left_right_index
Celle Ligure,Savona,Liguria,1050,"47,47",1047,"47,33",0.001430615164520744
Cengio,Savona,Liguria,738,"61,91",413,"34,65",0.28236316246741966
Ceriale,Savona,Liguria,1156,"62,45",587,"31,71",0.32644865174985654
Cisano Sul Neva,Savona,Liguria,447,"46,76",475,"49,69",-0.03036876355748373
Cosseria,Savona,Liguria,152,"35,10",267,"61,66",-0.2744630071599045
Dego,Savona,Liguria,328,"57,04",231,"40,17",0.1735241502683363
Erli,Savona,Liguria,59,"64,84",29,"31,87",0.3409090909090909
Finale Ligure,Savona,Liguria,2335,"53,56",1827,"41,90",0.12205670350792888
Garlenda,Savona,Liguria,298,"63,00",158,"33,40",0.30701754385964913
Giustenice,Savona,Liguria,251,"60,77",142,"34,38",0.27735368956743
Giusvalla,Savona,Liguria,85,"62,04",45,"32,85",0.3076923076923077
Laigueglia,Savona,Liguria,356,"60,75",202,"34,47",0.27598566308243727
Loano,Savona,Liguria,2626,"66,51",1199,"30,37",0.3730718954248366
Magliolo,Savona,Liguria,216,"59,50",133,"36,64",0.23782234957020057
Mallare,Savona,Liguria,196,"53,99",154,"42,42",0.12
Massimino,Savona,Liguria,44,"91,67",2,"4,17",0.9130434782608695
Millesimo,Savona,Liguria,586,"47,95",589,"48,20",-0.002553191489361702
Mioglia,Savona,Liguria,117,"56,80",79,"38,35",0.19387755102040816
Murialdo,Savona,Liguria,126,"42,57",161,"54,39",-0.12195121951219512
Nasino,Savona,Liguria,50,"66,67",23,"30,67",0.3698630136986301
Noli,Savona,Liguria,498,"50,92",450,"46,01",0.05063291139240506
Onzo,Savona,Liguria,62,"59,62",39,"37,50",0.22772277227722773
Orco Feglino,Savona,Liguria,199,"51,42",173,"44,70",0.06989247311827956
Ortovero,Savona,Liguria,364,"62,87",195,"33,68",0.3023255813953488
