comune,provincia,regione,url,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,"CIVICI, CON DE PASCALE PRESIDENTE","CIVICI, CON DE PASCALE PRESIDENTE_perc",ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE,ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE_perc,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE_perc,FRATELLI D'ITALIA - GIORGIA MELONI,FRATELLI D'ITALIA - GIORGIA MELONI_perc,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI_perc,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA_perc,RETE CIVICA - ELENA UGOLINI PRESIDENTE,RETE CIVICA - ELENA UGOLINI PRESIDENTE_perc,"EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO","EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO_perc",LEALTA' COERENZA VERITA' - LUCA TEODORI,LEALTA' COERENZA VERITA' - LUCA TEODORI_perc,MICHELE DE PASCALE_total_votes,MICHELE DE PASCALE_total_perc,ELENA UGOLINI_total_votes,ELENA UGOLINI_total_perc,FEDERICO SERRA_total_votes,FEDERICO SERRA_total_perc,LUCA TEODORI_total_votes,LUCA TEODORI_total_perc,Unnamed: 34,None_perc,latitude,longitude
Solignano,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560350,206,"37,73",7,"1,28",9,"1,65",18,"3,30",4,"0,73",143,"26,19",42,"7,69",86,"15,75",14,"2,56",15,"2,75",2.0,"0,37",253,"44,54",298,"52,46",15,"2,64",2,"0,35",,,44.613057,9.97548
Soragna,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560360,553,"31,37",49,"2,78",26,"1,47",37,"2,10",23,"1,30",770,"43,68",96,"5,45",112,"6,35",53,"3,01",20,"1,13",24.0,"1,36",716,"39,32",1059,"58,15",21,"1,15",25,"1,37",,,44.9281878,10.1235973
Sorbolo Mezzani,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560375,1356,"36,75",159,"4,31",161,"4,36",207,"5,61",61,"1,65",969,"26,26",290,"7,86",233,"6,31",135,"3,66",65,"1,76",54.0,"1,46",2078,"52,36",1763,"44,42",69,"1,74",59,"1,49",,,44.9000966,10.4421595
Terenzo,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560380,135,"36,89",10,"2,73",9,"2,46",6,"1,64",6,"1,64",113,"30,87",24,"6,56",44,"12,02",10,"2,73",3,"0,82",6.0,"1,64",174,"45,19",200,"51,95",5,"1,30",6,"1,56",,,44.609958,10.089682
Tizzano Val Parma,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560390,328,"41,15",14,"1,76",4,"0,50",25,"3,14",11,"1,38",241,"30,24",43,"5,40",53,"6,65",46,"5,77",19,"2,38",13.0,"1,63",387,"47,20",400,"48,78",20,"2,44",13,"1,59",,,44.5205442,10.1991991
Tornolo,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560400,135,"32,93",10,"2,44",0,0,7,"1,71",3,"0,73",130,"31,71",60,"14,63",60,"14,63",3,"0,73",1,"0,24",1.0,"0,24",157,"37,20",263,"62,32",1,"0,24",1,"0,24",,,44.485251,9.625274
Torrile,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560410,715,"37,36",88,"4,60",58,"3,03",87,"4,55",36,"1,88",444,"23,20",150,"7,84",160,"8,36",81,"4,23",69,"3,61",26.0,"1,36",1054,"50,62",913,"43,85",86,"4,13",29,"1,39",,,44.8988504,10.3394973
Traversetolo,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560420,935,"29,33",85,"2,67",67,"2,10",142,"4,45",54,"1,69",716,"22,46",171,"5,36",176,"5,52",722,"22,65",66,"2,07",54.0,"1,69",1388,"40,94",1869,"55,13",71,"2,09",62,"1,83",,,44.6392123,10.3817954
Valmozzola,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560440,57,"32,95",4,"2,31",0,0,5,"2,89",4,"2,31",49,"28,32",9,"5,20",29,"16,76",8,"4,62",5,"2,89",3.0,"1,73",72,"40,45",98,"55,06",5,"2,81",3,"1,69",,,44.5855083,9.8691506
Varano De' Melegari,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560450,364,"39,18",21,"2,26",17,"1,83",29,"3,12",18,"1,94",218,"23,47",61,"6,57",155,"16,68",31,"3,34",8,"0,86",7.0,"0,75",468,"47,71",497,"50,66",8,"0,82",8,"0,82",,,44.68806,10.011479
Varsi,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560460,121,"31,76",5,"1,31",8,"2,10",11,"2,89",3,"0,79",96,"25,20",33,"8,66",91,"23,88",7,"1,84",4,"1,05",2.0,"0,52",151,"37,94",241,"60,55",4,"1,01",2,"0,50",,,44.662157,9.846676
Agazzano,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610010,163,"26,81",12,"1,97",18,"2,96",27,"4,44",7,"1,15",252,"41,45",51,"8,39",50,"8,22",18,"2,96",10,"1,64",,,251,"37,02",405,"59,73",11,"1,62",11,"1,62",,0.0,44.945661,9.518564
Alseno,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610020,372,"24,35",46,"3,01",7,"0,46",40,"2,62",16,"1,05",614,"40,18",103,"6,74",140,"9,16",169,"11,06",21,"1,37",,,548,"32,60",1100,"65,44",19,"1,13",14,"0,83",,0.0,44.898364,9.961374
Alta Val Tidone,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610025,247,"23,32",29,"2,74",12,"1,13",30,"2,83",7,"0,66",493,"46,55",76,"7,18",113,"10,67",30,"2,83",22,"2,08",,,358,"31,38",752,"65,91",29,"2,54",2,"0,18",,0.0,44.919977,9.347182
Besenzone,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610030,58,"18,01",11,"3,42",1,"0,31",9,"2,80",2,"0,62",89,"27,64",19,"5,90",129,"40,06",2,"0,62",2,"0,62",,,88,"25,51",253,"73,33",2,"0,58",2,"0,58",,0.0,44.987157,9.9535782
Bettola,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610040,225,"23,68",26,"2,74",8,"0,84",16,"1,68",3,"0,32",480,"50,53",78,"8,21",93,"9,79",15,"1,58",6,"0,63",,,305,"29,99",688,"67,65",8,"0,79",16,"1,57",,0.0,44.7764457,9.6062795
Bobbio,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610050,449,"33,51",30,"2,24",13,"0,97",34,"2,54",6,"0,45",386,"28,81",42,"3,13",336,"25,07",22,"1,64",22,"1,64",,,569,"39,38",849,"58,75",24,"1,66",3,"0,21",,0.0,44.769273,9.3862814
Borgonovo Val Tidone,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610060,577,"29,54",36,"1,84",21,"1,08",58,"2,97",18,"0,92",836,"42,81",149,"7,63",192,"9,83",45,"2,30",21,"1,08",,,780,"36,97",1296,"61,42",21,"1,00",13,"0,62",,0.0,45.014362,9.443461
Cadeo,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610070,491,"29,70",66,"3,99",7,"0,42",36,"2,18",12,"0,73",688,"41,62",104,"6,29",190,"11,49",42,"2,54",17,"1,03",,,645,"36,65",1083,"61,53",20,"1,14",12,"0,68",,0.0,44.975365,9.83107
Calendasco,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610080,213,"30,87",26,"3,77",15,"2,17",19,"2,75",8,"1,16",257,"37,25",52,"7,54",67,"9,71",19,"2,75",14,"2,03",,,322,"40,71",448,"56,64",16,"2,02",5,"0,63",,0.0,45.0873218,9.5974792
Caorso,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610100,416,"30,77",28,"2,07",8,"0,59",32,"2,37",17,"1,26",527,"38,98",85,"6,29",177,"13,09",44,"3,25",18,"1,33",,,531,"35,98",910,"61,65",19,"1,29",16,"1,08",,0.0,45.0495995,9.8743749
Carpaneto Piacentino,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610110,543,"21,06",112,"4,34",26,"1,01",59,"2,29",39,"1,51",1250,"48,49",193,"7,49",286,"11,09",48,"1,86",22,"0,85",,,852,"30,57",1881,"67,49",28,"1,00",26,"0,93",,0.0,44.9152116,9.7880952
Castell'Arquato,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610120,425,"27,92",47,"3,09",16,"1,05",37,"2,43",14,"0,92",637,"41,85",84,"5,52",164,"10,78",69,"4,53",29,"1,91",,,619,"36,37",1037,"60,93",30,"1,76",16,"0,94",,0.0,44.8511798,9.8671175
Castel San Giovanni,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610130,907,"25,78",88,"2,50",34,"0,97",81,"2,30",26,"0,74",972,"27,63",680,"19,33",618,"17,57",67,"1,90",45,"1,28",,,1294,"34,11",2432,"64,10",55,"1,45",13,"0,34",,0.0,45.0590671,9.4341783
Castelvetro Piacentino,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610140,813,"49,72",26,"1,59",3,"0,18",28,"1,71",13,"0,80",528,"32,29",87,"5,32",94,"5,75",31,"1,90",12,"0,73",,,900,"51,84",791,"45,56",25,"1,44",20,"1,15",,0.0,45.1003347,9.9867161
Cerignale,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610150,22,"41,51",0,0,0,0,0,0,0,0,14,"26,42",6,"11,32",11,"20,75",0,0,0,0,,,24,"39,34",34,"55,74",0,0,3,"4,92",,0.0,44.677853,9.350765
Coli,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610160,117,"33,91",10,"2,90",0,0,8,"2,32",3,"0,87",145,"42,03",9,"2,61",40,"11,59",9,"2,61",4,"1,16",,,146,"40,44",206,"57,06",5,"1,39",4,"1,11",,0.0,44.744756,9.414565
Corte Brugnatella,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610170,70,"31,25",4,"1,79",1,"0,45",3,"1,34",0,0,112,"50,00",11,"4,91",18,"8,04",2,"0,89",3,"1,34",,,76,"31,67",157,"65,42",3,"1,25",4,"1,67",,0.0,44.7157673,9.3602888
Cortemaggiore,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610180,371,"25,62",33,"2,28",15,"1,04",33,"2,28",36,"2,49",344,"23,76",110,"7,60",481,"33,22",14,"0,97",11,"0,76",,,527,"34,42",976,"63,75",17,"1,11",11,"0,72",,0.0,44.9963532,9.9310724
Farini,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610190,81,"19,19",19,"4,50",0,0,13,"3,08",1,"0,24",244,"57,82",19,"4,50",37,"8,77",7,"1,66",1,"0,24",,,124,"27,62",321,"71,49",1,"0,22",3,"0,67",,0.0,44.7128373,9.5692864
Ferriere,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610200,89,"19,47",9,"1,97",5,"1,09",3,"0,66",2,"0,44",272,"59,52",19,"4,16",41,"8,97",12,"2,63",5,"1,09",,,119,"25,05",349,"73,47",5,"1,05",2,"0,42",,0.0,44.6441441,9.4974568
Fiorenzuola D'Arda,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610210,1704,"37,18",176,"3,84",48,"1,05",150,"3,27",50,"1,09",1494,"32,60",307,"6,70",437,"9,54",129,"2,81",88,"1,92",,,2263,"46,26",2512,"51,35",93,"1,90",24,"0,49",,0.0,44.9280841,9.9107218
Gazzola,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610220,208,"27,01",28,"3,64",36,"4,68",33,"4,29",6,"0,78",317,"41,17",47,"6,10",63,"8,18",21,"2,73",11,"1,43",,,342,"39,86",484,"56,41",15,"1,75",17,"1,98",,0.0,44.960062,9.548964
Gossolengo,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610230,680,"36,78",61,"3,30",25,"1,35",76,"4,11",27,"1,46",622,"33,64",87,"4,71",179,"9,68",52,"2,81",40,"2,16",,,975,"46,32",1055,"50,12",53,"2,52",22,"1,05",,0.0,45.0011074,9.6162072
Gragnano Trebbiense,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610240,438,"37,06",34,"2,88",17,"1,44",36,"3,05",9,"0,76",422,"35,70",58,"4,91",109,"9,22",32,"2,71",27,"2,28",,,613,"45,78",687,"51,31",23,"1,72",16,"1,19",,0.0,45.013163,9.568964
Gropparello,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610250,175,"25,11",21,"3,01",6,"0,86",22,"3,16",9,"1,29",322,"46,20",55,"7,89",64,"9,18",17,"2,44",6,"0,86",,,257,"32,91",507,"64,92",9,"1,15",8,"1,02",,0.0,44.8327057,9.729894
Lugagnano Val D'Arda,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610260,376,"28,72",35,"2,67",7,"0,53",38,"2,90",7,"0,53",498,"38,04",78,"5,96",177,"13,52",79,"6,04",14,"1,07",,,497,"35,32",890,"63,26",12,"0,85",8,"0,57",,0.0,44.821994,9.8284819
Monticelli D'Ongina,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610270,824,"47,22",38,"2,18",9,"0,52",20,"1,15",8,"0,46",608,"34,84",60,"3,44",119,"6,82",31,"1,78",28,"1,60",,,919,"50,00",877,"47,71",28,"1,52",14,"0,76",,0.0,45.0895109,9.9331646
Morfasso,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610280,69,"21,90",6,"1,90",3,"0,95",6,"1,90",3,"0,95",115,"36,51",26,"8,25",82,"26,03",3,"0,95",2,"0,63",,,88,"26,75",236,"71,73",3,"0,91",2,"0,61",,0.0,44.7227486,9.7028607
Ottone,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610300,24,"23,30",9,"8,74",2,"1,94",1,"0,97",0,0,43,"41,75",7,"6,80",14,"13,59",2,"1,94",1,"0,97",,,38,"33,33",75,"65,79",1,"0,88",0,0,,0.0,44.6232492,9.3326598
Piacenza,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610320,9762,"33,35",1154,"3,94",479,"1,64",1477,"5,05",490,"1,67",10677,"36,48",1762,"6,02",2122,"7,25",752,"2,57",596,"2,04",,,15116,"46,15",16643,"50,82",747,"2,28",245,"0,75",,0.0,45.0534751,9.6947461
Pianello Val Tidone,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610330,147,"22,48",21,"3,21",8,"1,22",17,"2,60",13,"1,99",297,"45,41",53,"8,10",79,"12,08",12,"1,83",7,"1,07",,,224,"31,59",468,"66,01",13,"1,83",4,"0,56",,0.0,44.94666,9.405161
Piozzano,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610340,59,"27,70",9,"4,23",2,"0,94",5,"2,35",2,"0,94",98,"46,01",9,"4,23",15,"7,04",4,"1,88",10,"4,69",,,81,"35,37",133,"58,08",9,"3,93",6,"2,62",,0.0,44.926261,9.496064
Podenzano,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610350,837,"28,63",85,"2,91",36,"1,23",84,"2,87",27,"0,92",1287,"44,03",237,"8,11",238,"8,14",68,"2,33",24,"0,82",,,1199,"37,72",1943,"61,12",27,"0,85",10,"0,31",,0.0,44.956363,9.684967
Ponte Dell'Olio,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610360,466,"30,10",42,"2,71",8,"0,52",51,"3,29",18,"1,16",625,"40,37",168,"10,85",140,"9,04",19,"1,23",11,"0,71",,,645,"38,26",1011,"59,96",18,"1,07",12,"0,71",,0.0,44.867361,9.642268
Pontenure,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610370,542,"29,88",63,"3,47",84,"4,63",73,"4,02",27,"1,49",660,"36,38",115,"6,34",164,"9,04",43,"2,37",43,"2,37",,,858,"42,31",1093,"53,90",49,"2,42",28,"1,38",,0.0,44.9992666,9.7884285
Rivergaro,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610380,715,"31,96",185,"8,27",20,"0,89",75,"3,35",27,"1,21",801,"35,81",169,"7,55",179,"8,00",37,"1,65",29,"1,30",,,1123,"44,97",1315,"52,66",37,"1,48",22,"0,88",,0.0,44.9102508,9.5965212
Rottofreno,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610390,1025,"30,94",142,"4,29",33,"1,00",99,"2,99",50,"1,51",1317,"39,75",202,"6,10",345,"10,41",46,"1,39",54,"1,63",,,1478,"41,15",2027,"56,43",59,"1,64",28,"0,78",,0.0,45.0576876,9.5502149
San Giorgio Piacentino,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610400,382,"20,01",68,"3,56",21,"1,10",50,"2,62",22,"1,15",1098,"57,52",85,"4,45",128,"6,71",29,"1,52",26,"1,36",,,638,"30,50",1406,"67,21",28,"1,34",20,"0,96",,0.0,44.954163,9.736869
San Pietro In Cerro,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610410,52,"20,80",7,"2,80",2,"0,80",5,"2,00",4,"1,60",98,"39,20",12,"4,80",61,"24,40",5,"2,00",4,"1,60",,,77,"28,84",184,"68,91",4,"1,50",2,"0,75",,0.0,45.0214997,9.948488
Sarmato,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610420,239,"33,66",12,"1,69",13,"1,83",22,"3,10",6,"0,85",282,"39,72",54,"7,61",57,"8,03",18,"2,54",7,"0,99",,,319,"41,86",430,"56,43",9,"1,18",4,"0,52",,0.0,45.0597632,9.4913135
Travo,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610430,527,"56,91",30,"3,24",1,"0,11",19,"2,05",8,"0,86",235,"25,38",34,"3,67",50,"5,40",14,"1,51",8,"0,86",,,598,"60,47",371,"37,51",9,"0,91",11,"1,11",,0.0,44.86246,9.545366
Vernasca,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610440,262,"40,43",17,"2,62",6,"0,93",17,"2,62",4,"0,62",206,"31,79",22,"3,40",74,"11,42",31,"4,78",9,"1,39",,,340,"45,76",385,"51,82",10,"1,35",8,"1,08",,0.0,44.7994378,9.8306675
Vigolzone,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610450,359,"25,79",36,"2,59",15,"1,08",34,"2,44",12,"0,86",377,"27,08",445,"31,97",79,"5,68",19,"1,36",16,"1,15",,,503,"33,76",959,"64,36",20,"1,34",8,"0,54",,0.0,44.914662,9.669368
Villanova Sull'Arda,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610460,204,"38,42",21,"3,95",6,"1,13",14,"2,64",2,"0,38",158,"29,76",30,"5,65",71,"13,37",8,"1,51",17,"3,20",,,258,"45,26",291,"51,05",20,"3,51",1,"0,18",,0.0,45.026005,9.9970611
Zerba,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610470,8,"27,59",0,0,1,"3,45",1,"3,45",0,0,12,"41,38",1,"3,45",3,"10,34",2,"6,90",1,"3,45",,,12,"36,36",20,"60,61",0,0,1,"3,03",,0.0,44.666153,9.287164
Ziano Piacentino,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610480,177,"23,79",24,"3,23",12,"1,61",46,"6,18",5,"0,67",263,"35,35",56,"7,53",123,"16,53",21,"2,82",17,"2,28",,,292,"35,18",509,"61,33",22,"2,65",7,"0,84",,0.0,45.001462,9.40156
Alfonsine,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660010,2161,"55,78",113,"2,92",174,"4,49",89,"2,30",74,"1,91",689,"17,79",110,"2,84",151,"3,90",224,"5,78",89,"2,30",,,2859,"64,51",1411,"31,84",112,"2,53",50,"1,13",,0.0,44.5055011,12.0409852
Bagnacavallo,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660020,2884,"47,74",174,"2,88",263,"4,35",237,"3,92",92,"1,52",1262,"20,89",348,"5,76",226,"3,74",436,"7,22",119,"1,97",,,3899,"57,42",2649,"39,01",162,"2,39",80,"1,18",,0.0,44.4161484,11.9765495
Bagnara Di Romagna,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660030,280,"31,50",29,"3,26",242,"27,22",16,"1,80",5,"0,56",188,"21,15",36,"4,05",33,"3,71",48,"5,40",12,"1,35",,,607,"62,32",348,"35,73",12,"1,23",7,"0,72",,0.0,44.3891411,11.8264421
Brisighella,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660040,1004,"38,59",71,"2,73",180,"6,92",85,"3,27",25,"0,96",859,"33,01",90,"3,46",138,"5,30",96,"3,69",54,"2,08",,,1524,"51,94",1331,"45,36",58,"1,98",21,"0,72",,0.0,44.2221401,11.7722262
Casola Valsenio,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660050,450,"49,18",24,"2,62",36,"3,93",22,"2,40",11,"1,20",282,"30,82",23,"2,51",21,"2,30",33,"3,61",13,"1,42",,,594,"57,23",420,"40,46",18,"1,73",6,"0,58",,0.0,44.2231871,11.6231101
Castel Bolognese,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660060,1330,"41,16",94,"2,91",162,"5,01",117,"3,62",37,"1,15",1004,"31,07",182,"5,63",124,"3,84",131,"4,05",50,"1,55",,,1956,"53,21",1637,"44,53",53,"1,44",30,"0,82",,0.0,44.3204868,11.7992579
Cervia,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660070,3888,"41,96",276,"2,98",623,"6,72",402,"4,34",275,"2,97",2160,"23,31",708,"7,64",479,"5,17",308,"3,32",147,"1,59",,,6361,"57,97",4299,"39,18",194,"1,77",119,"1,08",,0.0,44.2609836,12.3495462
Conselice,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660080,1410,"50,94",90,"3,25",140,"5,06",68,"2,46",36,"1,30",509,"18,39",117,"4,23",140,"5,06",177,"6,39",81,"2,93",,,1950,"60,63",1115,"34,67",90,"2,80",61,"1,90",,0.0,44.5127578,11.8291743
Cotignola,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660090,1231,"48,18",58,"2,27",171,"6,69",79,"3,09",42,"1,64",532,"20,82",102,"3,99",127,"4,97",176,"6,89",37,"1,45",,,1759,"59,03",1154,"38,72",44,"1,48",23,"0,77",,0.0,44.3846325,11.9423791
Faenza,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660100,9779,"46,92",703,"3,37",1410,"6,76",801,"3,84",309,"1,48",4971,"23,85",768,"3,68",714,"3,43",1038,"4,98",350,"1,68",,,14434,"60,60",8719,"36,60",433,"1,82",234,"0,98",,0.0,44.2855555,11.8832055
Fusignano,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660110,1349,"53,87",82,"3,27",111,"4,43",72,"2,88",43,"1,72",450,"17,97",75,"3,00",169,"6,75",113,"4,51",40,"1,60",,,1840,"62,39",1004,"34,05",79,"2,68",26,"0,88",,0.0,44.467572,11.960214
Lugo,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660120,4528,"42,37",305,"2,85",621,"5,81",401,"3,75",161,"1,51",2319,"21,70",466,"4,36",637,"5,96",1037,"9,70",211,"1,97",,,6806,"53,83",5470,"43,26",255,"2,02",113,"0,89",,0.0,44.4202951,11.911365
Massa Lombarda,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660130,1425,"50,84",109,"3,89",184,"6,56",97,"3,46",39,"1,39",538,"19,19",102,"3,64",104,"3,71",132,"4,71",73,"2,60",,,2044,"63,18",1069,"33,04",82,"2,53",40,"1,24",,0.0,44.447386,11.8260915
Ravenna,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660140,22774,"44,27",2048,"3,98",2596,"5,05",2109,"4,10",1607,"3,12",11197,"21,77",2398,"4,66",1998,"3,88",3343,"6,50",1374,"2,67",,,34962,"58,22",22666,"37,75",1695,"2,82",726,"1,21",,0.0,44.4161414,12.2017617
Riolo Terme,Ravenna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080660150,904,"43,71",57,"2,76",93,"4,50",56,"2,71",30,"1,45",705,"34,09",71,"3,43",56,"2,71",64,"3,09",32,"1,55",,,1243,"54,71",967,"42,56",40,"1,76",22,"0,97",,0.0,44.2770835,11.72452
