comune,provincia,regione,url,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE,PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,"CIVICI, CON DE PASCALE PRESIDENTE","CIVICI, CON DE PASCALE PRESIDENTE_perc",ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE,ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE_perc,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE,RIFORMISTI EMILIA-ROMAGNA FUTURA - DE PASCALE PRESIDENTE_perc,FRATELLI D'ITALIA - GIORGIA MELONI,FRATELLI D'ITALIA - GIORGIA MELONI_perc,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI,FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI_perc,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA,LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA_perc,RETE CIVICA - ELENA UGOLINI PRESIDENTE,RETE CIVICA - ELENA UGOLINI PRESIDENTE_perc,"EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO","EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO_perc",LEALTA' COERENZA VERITA' - LUCA TEODORI,LEALTA' COERENZA VERITA' - LUCA TEODORI_perc,MICHELE DE PASCALE_total_votes,MICHELE DE PASCALE_total_perc,ELENA UGOLINI_total_votes,ELENA UGOLINI_total_perc,FEDERICO SERRA_total_votes,FEDERICO SERRA_total_perc,LUCA TEODORI_total_votes,LUCA TEODORI_total_perc,Unnamed: 34,None_perc,latitude,longitude
Marzabotto,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130360,1056,"42,41",143,"5,74",106,"4,26",134,"5,38",47,"1,89",462,"18,55",228,"9,16",71,"2,85",151,"6,06",64,"2,57",28.0,"1,12",1565,"59,30",970,"36,76",73,"2,77",31,"1,17",,,44.3409877,11.204782
Medicina,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130370,2752,"45,25",266,"4,37",249,"4,09",292,"4,80",102,"1,68",1323,"21,75",221,"3,63",317,"5,21",368,"6,05",136,"2,24",56.0,"0,92",3896,"59,58",2410,"36,86",164,"2,51",69,"1,06",,,44.4765572,11.6384123
Minerbio,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130380,1291,"42,93",120,"3,99",111,"3,69",137,"4,56",46,"1,53",725,"24,11",115,"3,82",114,"3,79",261,"8,68",55,"1,83",32.0,"1,06",1890,"56,71",1342,"40,26",66,"1,98",35,"1,05",,,44.6241987,11.4906968
Molinella,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130390,1707,"31,33",143,"2,62",187,"3,43",111,"2,04",114,"2,09",1688,"30,98",648,"11,89",347,"6,37",364,"6,68",71,"1,30",69.0,"1,27",2434,"42,14",3182,"55,09",84,"1,45",76,"1,32",,,44.620853,11.6702371
Monghidoro,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130400,463,"34,07",40,"2,94",34,"2,50",42,"3,09",9,"0,66",422,"31,05",62,"4,56",111,"8,17",138,"10,15",22,"1,62",16.0,"1,18",623,"43,02",778,"53,73",29,"2,00",18,"1,24",,,44.2198594,11.3187467
Monterenzio,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130410,704,"35,70",62,"3,14",78,"3,96",99,"5,02",91,"4,61",355,"18,00",52,"2,64",73,"3,70",358,"18,15",47,"2,38",53.0,"2,69",1125,"52,45",912,"42,52",50,"2,33",58,"2,70",,,44.3268824,11.406144
Monte San Pietro,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130420,1925,"42,65",181,"4,01",178,"3,94",333,"7,38",88,"1,95",1021,"22,62",200,"4,43",160,"3,55",298,"6,60",70,"1,55",59.0,"1,31",2909,"59,73",1818,"37,33",87,"1,79",56,"1,15",,,44.4283961,11.15107755527979
Monzuno,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130440,785,"36,33",73,"3,38",64,"2,96",124,"5,74",35,"1,62",410,"18,97",69,"3,19",45,"2,08",494,"22,86",38,"1,76",24.0,"1,11",1171,"50,91",1060,"46,09",43,"1,87",26,"1,13",,,44.2792634,11.266408
Mordano,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130450,825,"49,82",57,"3,44",45,"2,72",43,"2,60",18,"1,09",412,"24,88",68,"4,11",53,"3,20",92,"5,56",17,"1,03",26.0,"1,57",1073,"58,83",696,"38,16",27,"1,48",28,"1,54",,,44.3974264,11.8108566
Ozzano Dell'Emilia,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130460,2644,"48,35",201,"3,68",209,"3,82",295,"5,40",82,"1,50",1076,"19,68",174,"3,18",173,"3,16",420,"7,68",106,"1,94",88.0,"1,61",3692,"61,81",2056,"34,42",130,"2,18",95,"1,59",,,44.4449797,11.4760503
Pianoro,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130470,3092,"46,09",229,"3,41",246,"3,67",340,"5,07",116,"1,73",1289,"19,21",250,"3,73",186,"2,77",756,"11,27",104,"1,55",101.0,"1,51",4336,"58,64",2805,"37,94",133,"1,80",120,"1,62",,,44.392964,11.342314
Pieve Di Cento,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130480,1199,"43,92",74,"2,71",113,"4,14",104,"3,81",39,"1,43",678,"24,84",95,"3,48",114,"4,18",232,"8,50",42,"1,54",40.0,"1,47",1696,"56,29",1230,"40,82",45,"1,49",42,"1,39",,,44.7132091,11.3065981
Sala Bolognese,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130500,1566,"48,18",122,"3,75",93,"2,86",128,"3,94",33,"1,02",782,"24,06",104,"3,20",129,"3,97",191,"5,88",48,"1,48",54.0,"1,66",2081,"59,09",1329,"37,73",58,"1,65",54,"1,53",,,44.629603,11.272747686018814
San Benedetto Val Di Sambro,Bologna,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080130510,662,"42,17",35,"2,23",39,"2,48",44,"2,80",11,"0,70",464,"29,55",45,"2,87",41,"2,61",193,"12,29",27,"1,72",9.0,"0,57",822,"49,91",782,"47,48",30,"1,82",13,"0,79",,,44.215259,11.232914
