comune,CDX_votes_2020,CDX_perc_2020,CSX_votes_2020,CSX_perc_2020,provincia,regione,CSX_votes_2024,CSX_perc_2024,CDX_votes_2024,CDX_perc_2024,margin_2020,margin_2024,margin_shift,latitude,longitude
Mezzanego,446,69.91,150,23.51,Genova,Liguria,154,30.74,314,62.67,46.39999999999999,31.930000000000003,-14.469999999999988,44.3920085,9.407722
Mignanego,882,50.81,747,43.03,Genova,Liguria,787,52.61,653,43.65,7.780000000000001,-8.96,-16.740000000000002,44.54833,8.9156574
Millesimo,971,56.82,648,37.92,Savona,Liguria,589,48.2,586,47.95,18.9,-0.25,-19.15,44.367536,8.201746
Mioglia,140,54.9,101,39.61,Savona,Liguria,79,38.35,117,56.8,15.29,18.449999999999996,3.1599999999999966,44.4904597,8.4124727
Moconesi,823,69.51,291,24.58,Genova,Liguria,305,32.14,612,64.49,44.93000000000001,32.349999999999994,-12.580000000000013,44.4375998,9.2147076
Molini Di Triora,165,65.74,64,25.5,Imperia,Liguria,54,34.39,93,59.24,40.239999999999995,24.85,-15.389999999999993,43.9903183,7.7744405
Moneglia,936,67.19,395,28.36,Genova,Liguria,407,33.44,770,63.27,38.83,29.830000000000005,-8.999999999999993,44.2385001,9.4899769
Montalto Carpasio,130,59.91,71,32.72,Imperia,Liguria,69,44.52,82,52.9,27.189999999999998,8.379999999999995,-18.810000000000002,43.9477208,7.8619192
Montebruno,64,68.82,20,21.51,Genova,Liguria,16,20.0,62,77.5,47.30999999999999,57.5,10.190000000000012,44.5257423,9.2475673
Montegrosso Pian Latte,48,59.26,24,29.63,Imperia,Liguria,23,31.51,50,68.49,29.63,36.97999999999999,7.349999999999991,44.0668887,7.817209
Monterosso Al Mare,341,54.13,237,37.62,La Spezia,Liguria,301,53.09,251,44.27,16.510000000000005,-8.82,-25.330000000000005,44.1465216,9.6555583
Montoggio,587,62.58,280,29.85,Genova,Liguria,347,43.92,404,51.14,32.73,7.219999999999999,-25.509999999999998,44.5154356,9.0442742
Murialdo,216,52.55,180,43.8,Savona,Liguria,161,54.39,126,42.57,8.75,-11.82,-20.57,44.3165799,8.1642967
Nasino,31,36.9,30,35.71,Savona,Liguria,23,30.67,50,66.67,1.1899999999999977,36.0,34.81,44.1137497,8.0317127
Ne,665,62.15,347,32.43,Genova,Liguria,307,36.33,488,57.75,29.72,21.42,-8.299999999999997,44.3519258,9.4402573
Neirone,255,64.89,113,28.75,Genova,Liguria,119,34.39,212,61.27,36.14,26.880000000000003,-9.259999999999998,44.4546639,9.1905114
Noli,706,57.03,443,35.78,Savona,Liguria,450,46.01,498,50.92,21.25,4.910000000000004,-16.339999999999996,44.2058832,8.416419
Olivetta San Michele,68,66.67,11,10.78,Imperia,Liguria,22,32.84,43,64.18,55.89,31.340000000000003,-24.549999999999997,43.8797713,7.5346432
Onzo,72,57.6,43,34.4,Savona,Liguria,39,37.5,62,59.62,23.200000000000003,22.119999999999997,-1.0800000000000054,44.0702888,8.0500191
Orco Feglino,278,55.27,185,36.78,Savona,Liguria,173,44.7,199,51.42,18.490000000000002,6.719999999999999,-11.770000000000003,44.234314600000005,8.325371878950978
Orero,198,78.57,45,17.86,Genova,Liguria,52,22.81,161,70.61,60.709999999999994,47.8,-12.909999999999997,44.4172124,9.2890384
Ortovero,501,69.68,149,20.72,Savona,Liguria,195,33.68,364,62.87,48.96000000000001,29.189999999999998,-19.77000000000001,44.053427,8.096649
Osiglia,129,61.43,63,30.0,Savona,Liguria,49,33.79,86,59.31,31.43,25.520000000000003,-5.909999999999997,44.2826316,8.2021436
Ospedaletti,921,64.86,420,29.58,Imperia,Liguria,353,34.01,653,62.91,35.28,28.9,-6.380000000000003,43.8020802,7.7181662
Pallare,305,64.76,138,29.3,Savona,Liguria,119,39.27,174,57.43,35.46000000000001,18.159999999999997,-17.30000000000001,44.3272753,8.2754352
Perinaldo,275,61.38,133,29.69,Imperia,Liguria,69,35.57,116,59.79,31.69,24.22,-7.470000000000002,43.8676804,7.6684569
Piana Crixia,223,63.35,98,27.84,Savona,Liguria,69,35.38,119,61.03,35.510000000000005,25.65,-9.860000000000007,44.4861788,8.3061011
Pietra Ligure,2466,63.25,1117,28.65,Savona,Liguria,1112,37.49,1741,58.7,34.6,21.21,-13.39,44.152931,8.286552
Pietrabruna,172,67.19,62,24.22,Imperia,Liguria,50,33.11,96,63.58,42.97,30.47,-12.5,43.889722,7.902948
Pieve Di Teco,351,60.94,139,24.13,Imperia,Liguria,137,33.5,250,61.12,36.81,27.619999999999997,-9.190000000000005,44.047026,7.914946
Pieve Ligure,645,51.85,512,41.16,Genova,Liguria,592,48.68,586,48.19,10.690000000000005,-0.490000000000002,-11.180000000000007,44.3762485,9.0861613
Pigna,226,67.06,86,25.52,Imperia,Liguria,98,37.4,133,50.76,41.540000000000006,13.36,-28.180000000000007,43.9327142,7.6633135
Pignone,170,54.31,109,34.82,La Spezia,Liguria,116,41.13,160,56.74,19.490000000000002,15.61,-3.8800000000000026,44.1781487,9.7234963
Plodio,220,61.11,120,33.33,Savona,Liguria,116,45.67,136,53.54,27.78,7.869999999999997,-19.910000000000004,44.3511944,8.2564515
Pompeiana,267,69.71,82,21.41,Imperia,Liguria,89,32.84,174,64.21,48.3,31.36999999999999,-16.930000000000007,43.853721,7.889848
Pontedassio,701,66.57,260,24.69,Imperia,Liguria,252,28.73,597,68.07,41.879999999999995,39.33999999999999,-2.5400000000000063,43.940324,8.01385
Pontinvrea,264,61.54,132,30.77,Savona,Liguria,120,31.41,248,64.92,30.77,33.510000000000005,2.7400000000000055,44.4446264,8.43446
Pornassio,177,72.54,42,17.21,Imperia,Liguria,45,27.11,115,69.28,55.330000000000005,42.17,-13.160000000000004,44.0698777,7.8712894
Portofino,184,86.38,20,9.39,Genova,Liguria,18,10.91,145,87.88,76.99,76.97,-0.01999999999999602,44.3036653,9.2093446
Portovenere,906,52.71,716,41.65,La Spezia,Liguria,682,46.36,724,49.22,11.060000000000002,2.8599999999999994,-8.200000000000003,44.0506605,9.8344585
Prela',89,47.59,52,27.81,Imperia,Liguria,65,42.48,79,51.63,19.780000000000005,9.150000000000006,-10.629999999999999,43.9263186,7.9364801
Propata,36,59.02,20,32.79,Genova,Liguria,28,53.85,21,40.38,26.230000000000004,-13.469999999999999,-39.7,44.5655702,9.1859403
Quiliano,1524,41.9,1832,50.37,Savona,Liguria,1976,66.69,815,27.51,-8.469999999999999,-39.17999999999999,-30.709999999999994,44.292536,8.412652
Ranzo,153,66.23,59,25.54,Imperia,Liguria,56,32.94,105,61.76,40.690000000000005,28.82,-11.870000000000005,44.059627,8.014947
Rapallo,8979,68.73,3399,26.02,Genova,Liguria,3582,33.11,6665,61.62,42.71000000000001,28.509999999999998,-14.20000000000001,44.3511473,9.229671
Recco,3068,61.76,1582,31.84,Genova,Liguria,1684,38.63,2513,57.65,29.919999999999998,19.019999999999996,-10.900000000000002,44.3652396,9.1462995
Rezzo,103,69.13,34,22.82,Imperia,Liguria,42,31.58,86,64.66,46.309999999999995,33.08,-13.229999999999997,44.021425,7.871445
Rezzoaglio,280,77.99,68,18.94,Genova,Liguria,100,26.95,191,51.48,59.05,24.529999999999998,-34.519999999999996,44.5259967,9.387267
Rialto,139,54.09,94,36.58,Savona,Liguria,95,46.57,97,47.55,17.510000000000005,0.9799999999999969,-16.53000000000001,44.2258176,8.2631084
Ricco' Del Golfo Di Spezia,940,56.19,600,35.86,La Spezia,Liguria,719,49.76,682,47.2,20.33,-2.559999999999995,-22.889999999999993,44.1537194,9.7638623
Riomaggiore,266,33.59,461,58.21,La Spezia,Liguria,469,66.52,196,27.8,-24.619999999999997,-38.72,-14.100000000000001,44.0989747,9.7386704
