comune,provincia,regione,url,L'ALTRA EMILIA ROMAGNA,L'ALTRA EMILIA ROMAGNA_perc,MOVIMENTO 3V VACCINI VOGLIAMO VERITA',MOVIMENTO 3V VACCINI VOGLIAMO VERITA'_perc,POTERE AL POPOLO!,POTERE AL POPOLO!_perc,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE_perc,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO_perc,VOLT EMILIA-ROMAGNA,VOLT EMILIA-ROMAGNA_perc,+EUROPA - PSI - PRI,+EUROPA - PSI - PRI_perc,BONACCINI PRESIDENTE,BONACCINI PRESIDENTE_perc,EMILIA-ROMAGNA CORAGGIOSA ECOLOGISTA PROGRESSISTA,EMILIA-ROMAGNA CORAGGIOSA ECOLOGISTA PROGRESSISTA_perc,EUROPA VERDE,EUROPA VERDE_perc,PARTITO COMUNISTA,PARTITO COMUNISTA_perc,LEGA,LEGA_perc,FORZA ITALIA,FORZA ITALIA_perc,PROGETTO EMILIA-ROMAGNA RETE CIVICA BORGONZONI PRESIDENTE,PROGETTO EMILIA-ROMAGNA RETE CIVICA BORGONZONI PRESIDENTE_perc,FRATELLI D'ITALIA,FRATELLI D'ITALIA_perc,IL POPOLO DELLA FAMIGLIA - CAMBIAMO!,IL POPOLO DELLA FAMIGLIA - CAMBIAMO!_perc,GIOVANI PER L'AMBIENTE,GIOVANI PER L'AMBIENTE_perc,TESORO CALABRIA CARLO TANSI PRESIDENTE,TESORO CALABRIA CARLO TANSI PRESIDENTE_perc,CALABRIA PULITA CON CARLO TANSI,CALABRIA PULITA CON CARLO TANSI_perc,CALABRIA LIBERA CON CARLO TANSI,CALABRIA LIBERA CON CARLO TANSI_perc,IO RESTO IN CALABRIA CON CALLIPO,IO RESTO IN CALABRIA CON CALLIPO_perc,DEMOCRATICI PROGRESSISTI CALABRIA,DEMOCRATICI PROGRESSISTI CALABRIA_perc,FORZA ITALIA BERLUSCONI PER SANTELLI,FORZA ITALIA BERLUSCONI PER SANTELLI_perc,JOLE SANTELLI PRESIDENTE,JOLE SANTELLI PRESIDENTE_perc,LEGA SALVINI CALABRIA,LEGA SALVINI CALABRIA_perc,GIORGIA MELONI FRATELLI D'ITALIA,GIORGIA MELONI FRATELLI D'ITALIA_perc,CASA DELLE LIBERTA',CASA DELLE LIBERTA'_perc,CALABRIA LIBERTAS UNIONE DI CENTRO,CALABRIA LIBERTAS UNIONE DI CENTRO_perc,LIBERI DI CAMBIARE CALABRIA CIVICA AIELL,LIBERI DI CAMBIARE CALABRIA CIVICA AIELL_perc,MOVIMENTO 5 STELLE ILBLOGDELLESTELLE.IT,MOVIMENTO 5 STELLE ILBLOGDELLESTELLE.IT_perc,LUGLI STEFANO_total_votes,LUGLI STEFANO_total_perc,BATTAGLIA DOMENICO_total_votes,BATTAGLIA DOMENICO_total_perc,COLLOT MARTA_total_votes,COLLOT MARTA_total_perc,BENINI SIMONE_total_votes,BENINI SIMONE_total_perc,BONACCINI STEFANO_total_votes,BONACCINI STEFANO_total_perc,BERGAMINI LAURA_total_votes,BERGAMINI LAURA_total_perc,BORGONZONI LUCIA_total_votes,BORGONZONI LUCIA_total_perc,TANSI CARLO_total_votes,TANSI CARLO_total_perc,CALLIPO FILIPPO_total_votes,CALLIPO FILIPPO_total_perc,SANTELLI JOLE_total_votes,SANTELLI JOLE_total_perc,AIELLO FRANCESCO_total_votes,AIELLO FRANCESCO_total_perc
MAIERATO,,,,0,0.0,0,0.0,0,0.0,0,0.0,52,5.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,1.18,0,0.0,0,0.0,342,33.76,107,10.56,62,6.12,123,12.14,108,10.66,38,3.75,26,2.57,21,2.07,1,0.1,21,2.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,1.48,564,55.68,384,37.91,22,2.17
MILETO,,,,0,0.0,0,0.0,0,0.0,0,0.0,330,12.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,44,1.6,0,0.0,0,0.0,297,10.83,87,3.17,269,9.81,358,13.05,458,16.7,162,5.91,290,10.57,168,6.12,9,0.33,117,4.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,49,1.79,767,27.96,1722,62.78,132,4.81
MONGIANA,,,,0,0.0,0,0.0,0,0.0,0,0.0,107,32.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.61,0,0.0,0,0.0,12,3.67,4,1.22,12,3.67,49,14.98,50,15.29,24,7.34,24,7.34,23,7.03,0,0.0,10,3.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.61,125,38.23,183,55.96,10,3.06
MONTEROSSO CALABRO,,,,0,0.0,0,0.0,0,0.0,0,0.0,72,7.64,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,1.59,0,0.0,0,0.0,354,37.54,11,1.17,32,3.39,75,7.95,98,10.39,42,4.45,36,3.82,93,9.86,1,0.11,36,3.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,2.44,471,49.95,387,41.04,38,4.03
NARDODIPACE,,,,0,0.0,0,0.0,0,0.0,0,0.0,86,16.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.19,0,0.0,0,0.0,3,0.58,16,3.08,74,14.23,12,2.31,66,12.69,16,3.08,155,29.81,68,13.08,3,0.58,4,0.77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.19,105,20.19,391,75.19,7,1.35
NICOTERA,,,,0,0.0,0,0.0,0,0.0,0,0.0,159,6.81,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131,5.61,0,0.0,0,0.0,189,8.09,178,7.62,108,4.62,542,23.2,342,14.64,115,4.92,196,8.39,43,1.84,7,0.3,120,5.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,142,6.08,581,24.87,1380,59.08,130,5.57
PARGHELIA,,,,0,0.0,0,0.0,0,0.0,0,0.0,98,16.53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22,3.71,0,0.0,0,0.0,83,14.0,61,10.29,65,10.96,26,4.38,87,14.67,17,2.87,57,9.61,5,0.84,1,0.17,17,2.87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,4.22,261,44.01,261,44.01,19,3.2
PIZZO,,,,0,0.0,0,0.0,0,0.0,0,0.0,277,7.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,142,3.76,0,0.0,0,0.0,1196,31.64,261,6.9,238,6.3,288,7.62,323,8.54,129,3.41,239,6.32,60,1.59,13,0.34,274,7.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,159,4.21,1939,51.3,1296,34.29,299,7.91
PIZZONI,,,,0,0.0,0,0.0,0,0.0,0,0.0,63,13.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,2.07,0,0.0,0,0.0,44,9.11,91,18.84,13,2.69,73,15.11,71,14.7,19,3.93,30,6.21,10,2.07,1,0.21,29,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,2.9,200,41.41,217,44.93,33,6.83
CERVICATI,,,,0,0.0,0,0.0,0,0.0,0,0.0,20,4.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,3.01,5,1.16,1,0.23,28,6.48,9,2.08,48,11.11,71,16.44,75,17.36,78,18.06,27,6.25,12,2.78,3,0.69,24,5.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,4.4,57,13.19,311,71.99,27,6.25
CERZETO,,,,0,0.0,0,0.0,0,0.0,0,0.0,68,11.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,4.95,9,1.49,17,2.81,20,3.3,20,3.3,25,4.13,141,23.27,43,7.1,87,14.36,28,4.62,13,2.15,11,1.82,35,5.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,68,11.22,124,20.46,351,57.92,48,7.92
CETRARO,,,,0,0.0,0,0.0,0,0.0,0,0.0,511,10.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,108,2.18,29,0.59,17,0.34,137,2.76,1420,28.65,345,6.96,795,16.04,208,4.2,343,6.92,360,7.26,213,4.3,19,0.38,167,3.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,195,3.93,2092,42.2,2274,45.87,195,3.93
CIVITA,,,,0,0.0,0,0.0,0,0.0,0,0.0,103,23.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,2.91,0,0.0,2,0.45,53,11.88,4,0.9,107,23.99,10,2.24,48,10.76,20,4.48,13,2.91,15,3.36,0,0.0,29,6.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,3.81,165,37.0,213,47.76,30,6.73
CLETO,,,,0,0.0,0,0.0,0,0.0,0,0.0,101,16.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,7.78,1,0.16,7,1.13,87,14.1,5,0.81,97,15.72,43,6.97,67,10.86,40,6.48,25,4.05,24,3.89,2,0.32,31,5.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,64,10.37,202,32.74,302,48.95,33,5.35
COLOSIMI,,,,0,0.0,0,0.0,0,0.0,0,0.0,58,9.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29,4.84,7,1.17,11,1.84,52,8.68,23,3.84,45,7.51,24,4.01,95,15.86,66,11.02,21,3.51,51,8.51,12,2.0,56,9.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,63,10.52,137,22.87,304,50.75,70,11.69
AFRICO,,,,0,0.0,0,0.0,0,0.0,0,0.0,93,8.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.43,0,0.0,0,0.0,5,0.43,22,1.9,97,8.38,265,22.9,18,1.56,146,12.62,226,19.53,77,6.66,110,9.51,13,1.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,1.3,120,10.37,844,72.95,123,10.63
AGNANA CALABRA,,,,0,0.0,0,0.0,0,0.0,0,0.0,31,17.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,4.42,0,0.0,0,0.0,4,2.21,9,4.97,18,9.94,0,0.0,16,8.84,30,16.57,24,13.26,8,4.42,1,0.55,19,10.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,4.42,46,25.41,96,53.04,21,11.6
ANOIA,,,,0,0.0,0,0.0,0,0.0,0,0.0,115,12.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,1.9,0,0.0,0,0.0,37,3.91,51,5.39,266,28.12,46,4.86,80,8.46,95,10.04,26,2.75,79,8.35,12,1.27,61,6.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22,2.33,210,22.2,601,63.53,74,7.82
ANTONIMINA,,,,0,0.0,0,0.0,0,0.0,0,0.0,126,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,2.22,0,0.0,0,0.0,4,0.63,39,6.19,62,9.84,20,3.17,50,7.94,202,32.06,37,5.87,38,6.03,3,0.48,8,1.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,2.22,173,27.46,412,65.4,11,1.75
ARDORE,,,,0,0.0,0,0.0,0,0.0,0,0.0,276,12.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,79,3.46,0,0.0,0,0.0,22,0.96,184,8.07,809,35.48,125,5.48,155,6.8,185,8.11,89,3.9,208,9.12,10,0.44,47,2.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,93,4.08,489,21.45,1579,69.25,57,2.5
BAGALADI,,,,0,0.0,0,0.0,0,0.0,0,0.0,67,15.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.46,0,0.0,0,0.0,2,0.46,24,5.48,88,20.09,43,9.82,27,6.16,89,20.32,27,6.16,36,8.22,10,2.28,7,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.68,95,21.69,310,70.78,17,3.88
BAGNARA CALABRA,,,,0,0.0,0,0.0,0,0.0,0,0.0,852,18.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,65,1.41,0,0.0,0,0.0,78,1.69,147,3.19,478,10.38,234,5.08,886,19.24,884,19.2,115,2.5,445,9.67,13,0.28,248,5.39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,71,1.54,1129,24.52,3051,66.27,264,5.73
BENESTARE,,,,0,0.0,0,0.0,0,0.0,0,0.0,91,8.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,68,6.38,0,0.0,0,0.0,8,0.75,147,13.8,150,14.08,54,5.07,33,3.1,200,18.78,78,7.32,149,13.99,10,0.94,28,2.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,71,6.67,247,23.19,664,62.35,38,3.57
BIANCO,,,,0,0.0,0,0.0,0,0.0,0,0.0,173,9.89,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,61,3.49,0,0.0,0,0.0,18,1.03,92,5.26,142,8.12,62,3.54,171,9.78,173,9.89,597,34.13,125,7.15,22,1.26,42,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,64,3.66,299,17.1,1281,73.24,64,3.66
BIVONGI,,,,0,0.0,0,0.0,0,0.0,0,0.0,127,18.87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37,5.5,0,0.0,0,0.0,4,0.59,230,34.18,36,5.35,10,1.49,52,7.73,38,5.65,33,4.9,18,2.67,3,0.45,24,3.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,41,6.09,371,55.13,193,28.68,35,5.2
BOVA,,,,0,0.0,0,0.0,0,0.0,0,0.0,30,14.85,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,2.97,0,0.0,0,0.0,7,3.47,11,5.45,15,7.43,22,10.89,11,5.45,28,13.86,11,5.45,37,18.32,8,3.96,10,4.95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,2.97,50,24.75,124,61.39,18,8.91
BOVALINO,,,,0,0.0,0,0.0,0,0.0,0,0.0,353,9.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,154,4.13,0,0.0,0,0.0,87,2.33,132,3.54,365,9.78,93,2.49,189,5.07,896,24.02,186,4.99,940,25.19,92,2.47,91,2.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,165,4.42,601,16.11,2681,71.86,187,5.01
SANTA DOMENICA TALAO,,,,0,0.0,0,0.0,0,0.0,0,0.0,45,8.62,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,5.75,2,0.38,3,0.57,27,5.17,14,2.68,113,21.65,97,18.58,39,7.47,47,9.0,25,4.79,32,6.13,1,0.19,21,4.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40,7.66,92,17.62,354,67.82,22,4.21
SANT'AGATA DI ESARO,,,,0,0.0,0,0.0,0,0.0,0,0.0,71,8.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,1.93,1,0.12,5,0.6,14,1.69,87,10.49,91,10.98,90,10.86,204,24.61,46,5.55,17,2.05,86,10.37,5,0.6,48,5.79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,3.62,177,21.35,538,64.9,54,6.51
SANTA MARIA DEL CEDRO,,,,0,0.0,0,0.0,0,0.0,0,0.0,186,8.83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,57,2.71,11,0.52,9,0.43,195,9.26,61,2.9,406,19.28,269,12.77,276,13.11,124,5.89,72,3.42,174,8.26,13,0.62,132,6.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,97,4.61,455,21.6,1329,63.11,149,7.08
SANTA SOFIA D'EPIRO,,,,0,0.0,0,0.0,0,0.0,0,0.0,164,14.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22,1.95,4,0.35,8,0.71,85,7.52,94,8.31,123,10.88,87,7.69,159,14.06,151,13.35,45,3.98,27,2.39,1,0.09,95,8.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,42,3.71,352,31.12,600,53.05,98,8.66
SANTO STEFANO DI ROGLIANO,,,,0,0.0,0,0.0,0,0.0,0,0.0,50,5.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,67,7.06,10,1.05,21,2.21,256,26.98,39,4.11,87,9.17,88,9.27,74,7.8,54,5.69,37,3.9,30,3.16,0,0.0,60,6.32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,119,12.54,354,37.3,376,39.62,61,6.43
SAN VINCENZO LA COSTA,,,,0,0.0,0,0.0,0,0.0,0,0.0,95,7.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,88,6.99,21,1.67,14,1.11,67,5.32,154,12.23,69,5.48,85,6.75,426,33.84,51,4.05,17,1.35,17,1.35,7,0.56,79,6.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,141,11.2,325,25.81,669,53.14,86,6.83
SARACENA,,,,0,0.0,0,0.0,0,0.0,0,0.0,245,16.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28,1.87,7,0.47,14,0.94,417,27.86,19,1.27,159,10.62,34,2.27,186,12.42,84,5.61,51,3.41,44,2.94,8,0.53,93,6.21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,67,4.48,708,47.29,567,37.88,104,6.95
SCALA COELI,,,,0,0.0,0,0.0,0,0.0,0,0.0,30,10.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.01,3,1.01,0,0.0,16,5.37,4,1.34,98,32.89,24,8.05,22,7.38,15,5.03,4,1.34,4,1.34,0,0.0,53,17.79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,2.68,52,17.45,168,56.38,56,18.79
SCALEA,,,,0,0.0,0,0.0,0,0.0,0,0.0,387,9.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,194,4.55,24,0.56,28,0.66,357,8.38,75,1.76,792,18.59,851,19.98,420,9.86,215,5.05,59,1.38,218,5.12,70,1.64,238,5.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,317,7.44,883,20.73,2587,60.73,314,7.37
SCIGLIANO,,,,0,0.0,0,0.0,0,0.0,0,0.0,88,15.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,1.71,6,1.02,5,0.85,65,11.09,50,8.53,46,7.85,88,15.02,44,7.51,38,6.48,28,4.78,49,8.36,3,0.51,30,5.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,4.27,217,37.03,296,50.51,34,5.8
SERRA D'AIELLO,,,,0,0.0,0,0.0,0,0.0,0,0.0,96,35.42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,7.75,1,0.37,1,0.37,20,7.38,8,2.95,14,5.17,9,3.32,18,6.64,42,15.5,13,4.8,3,1.11,0,0.0,12,4.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,8.86,125,46.13,99,36.53,13,4.8
SPEZZANO ALBANESE,,,,0,0.0,0,0.0,0,0.0,0,0.0,1147,38.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,71,2.37,22,0.74,13,0.43,83,2.77,22,0.74,185,6.18,87,2.91,409,13.67,443,14.81,48,1.6,70,2.34,16,0.53,207,6.92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,129,4.31,1267,42.35,1255,41.95,226,7.55
SPEZZANO DELLA SILA,,,,0,0.0,0,0.0,0,0.0,0,0.0,782,32.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,92,3.8,26,1.07,48,1.98,125,5.16,128,5.28,63,2.6,189,7.8,311,12.84,138,5.7,65,2.68,58,2.39,51,2.11,181,7.47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,215,8.88,1067,44.05,831,34.31,244,10.07
TARSIA,,,,0,0.0,0,0.0,0,0.0,0,0.0,67,8.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,1.32,4,0.48,9,1.08,39,4.68,65,7.8,70,8.4,165,19.81,124,14.89,120,14.41,18,2.16,42,5.04,1,0.12,32,3.84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32,3.84,172,20.65,540,64.83,33,3.96
TERRANOVA DA SIBARI,,,,0,0.0,0,0.0,0,0.0,0,0.0,408,17.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,85,3.67,6,0.26,12,0.52,68,2.93,45,1.94,98,4.23,150,6.47,701,30.23,497,21.43,47,2.03,42,1.81,1,0.04,68,2.93,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,113,4.87,529,22.81,1542,66.49,69,2.98
TERRAVECCHIA,,,,0,0.0,0,0.0,0,0.0,0,0.0,34,12.93,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.38,2,0.76,0,0.0,4,1.52,4,1.52,32,12.17,37,14.07,83,31.56,11,4.18,1,0.38,13,4.94,1,0.38,30,11.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.14,45,17.11,177,67.3,31,11.79
TORANO CASTELLO,,,,0,0.0,0,0.0,0,0.0,0,0.0,171,7.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,89,3.99,19,0.85,31,1.39,110,4.93,41,1.84,185,8.3,140,6.28,297,13.32,104,4.66,633,28.39,86,3.86,33,1.48,151,6.77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,178,7.98,343,15.38,1452,65.11,188,8.43
TORTORA,,,,0,0.0,0,0.0,0,0.0,0,0.0,255,11.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33,1.45,9,0.39,15,0.66,435,19.06,40,1.75,265,11.61,260,11.39,320,14.02,183,8.02,25,1.1,138,6.05,26,1.14,126,5.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,70,3.07,780,34.18,1203,52.72,157,6.88
POLIA,,,,0,0.0,0,0.0,0,0.0,0,0.0,42,8.97,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.85,0,0.0,0,0.0,84,17.95,16,3.42,17,3.63,55,11.75,20,4.27,9,1.92,120,25.64,34,7.26,3,0.64,24,5.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.85,161,34.4,262,55.98,29,6.2
RICADI,,,,0,0.0,0,0.0,0,0.0,0,0.0,178,7.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,98,4.33,0,0.0,0,0.0,149,6.58,447,19.74,92,4.06,126,5.56,223,9.85,105,4.64,551,24.33,22,0.97,2,0.09,84,3.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,110,4.86,825,36.42,1137,50.2,92,4.06
